Area,Country,Year,Series,Value
604,Peru,2019,Population density,25.3988
608,Philippines,2019,Population density,362.6006
616,Poland,2019,Population density,123.7232
620,Portugal,2019,Population density,111.6518
630,Puerto Rico,2019,Population density,330.7112
634,Qatar,2019,Population density,243.9334
410,Republic of Korea,2019,Population density,526.8467
498,Republic of Moldova,2019,Population density,123.0826
638,Réunion,2019,Population density,355.5708
642,Romania,2019,Population density,84.1315
643,Russian Federation,2019,Population density,8.9072
646,Rwanda,2019,Population density,511.8342
652,Saint Barthélemy,2019,Population density,447.5909
654,Saint Helena,2019,Population density,15.5359
659,Saint Kitts and Nevis,2019,Population density,203.1654
662,Saint Lucia,2019,Population density,299.6557
663,Saint Martin (French part),2019,Population density,717.0189
666,Saint Pierre and Miquelon,2019,Population density,25.313
670,Saint Vincent & Grenadines,2019,Population density,283.5615
882,Samoa,2019,Population density,69.6456
674,San Marino,2019,Population density,564.3333
678,Sao Tome and Principe,2019,Population density,224.0167
682,Saudi Arabia,2019,Population density,15.9411
686,Senegal,2019,Population density,84.6432
688,Serbia,2019,Population density,100.3
690,Seychelles,2019,Population density,212.4761
694,Sierra Leone,2019,Population density,108.2463
702,Singapore,2019,Population density,8291.91
534,Sint Maarten (Dutch part),2019,Population density,1246.7059
703,Slovakia,2019,Population density,113.4797
705,Slovenia,2019,Population density,103.2102
90,Solomon Islands,2019,Population density,23.9308
706,Somalia,2019,Population density,24.6165
710,South Africa,2019,Population density,48.272
728,South Sudan,2019,Population density,18.1064
724,Spain,2019,Population density,93.6984
144,Sri Lanka,2019,Population density,340.0372
275,State of Palestine,2019,Population density,827.4784
729,Sudan,2019,Population density,24.2561
740,Suriname,2019,Population density,3.7267
752,Sweden,2019,Population density,24.4587
756,Switzerland,2019,Population density,217.4148
760,Syrian Arab Republic,2019,Population density,92.9594
762,Tajikistan,2019,Population density,66.5977
764,Thailand,2019,Population density,136.2829
626,Timor-Leste,2019,Population density,86.9616
768,Togo,2019,Population density,148.6002
772,Tokelau,2019,Population density,134.0
776,Tonga,2019,Population density,145.1306
780,Trinidad and Tobago,2019,Population density,271.9246
788,Tunisia,2019,Population density,75.275
792,Turkey,2019,Population density,108.4022
795,Turkmenistan,2019,Population density,12.6446
796,Turks and Caicos Islands,2019,Population density,40.2011
798,Tuvalu,2019,Population density,388.2
800,Uganda,2019,Population density,221.5585
804,Ukraine,2019,Population density,75.9401
784,United Arab Emirates,2019,Population density,116.8724
826,United Kingdom,2019,Population density,279.131
834,United Rep. of Tanzania,2019,Population density,65.4837
840,United States of America,2019,Population density,35.9735
850,United States Virgin Islands,2019,Population density,298.7943
858,Uruguay,2019,Population density,19.7791
860,Uzbekistan,2019,Population density,77.5311
548,Vanuatu,2019,Population density,24.6007
862,Venezuela (Boliv. Rep. of),2019,Population density,32.329
704,Viet Nam,2019,Population density,311.0978
876,Wallis and Futuna Islands,2019,Population density,81.6571
732,Western Sahara,2019,Population density,2.1897
887,Yemen,2019,Population density,55.2341
894,Zambia,2019,Population density,24.0265
716,Zimbabwe,2019,Population density,37.8583
